name,website,careers_url,ats_type,ats_identifier,is_active
6sense,,https://boards.greenhouse.io/6sense,greenhouse,6sense,true
Drivetrain,,https://jobs.lever.co/drivetrain,lever,drivetrain,true
FirstWork,,https://jobs.ashbyhq.com/firstwork,ashby,firstwork,true
100ms,,https://jobs.lever.co/100ms,lever,100ms,true
Everbridge,,https://jobs.lever.co/everbridge,lever,everbridge,true
Acceldata,,https://jobs.lever.co/acceldata,lever,acceldata,true
Level AI,,https://jobs.lever.co/levelai,lever,levelai,true
JumpCloud,,https://jobs.lever.co/jumpcloud,lever,jumpcloud,true
RapidAI,,https://jobs.lever.co/rapidai,lever,rapidai,true
Zimperium,,https://jobs.lever.co/zimperium,lever,zimperium,true
HighLevel,,https://jobs.lever.co/gohighlevel,lever,gohighlevel,true
Ema,,https://jobs.ashbyhq.com/ema,ashby,ema,true
Almabase,,https://jobs.ashbyhq.com/almabase,ashby,almabase,true
Careway Health,,https://jobs.ashbyhq.com/careway,ashby,careway,true
Summation,,https://jobs.ashbyhq.com/summation,ashby,summation,true
FurtherAI,,https://jobs.ashbyhq.com/furtherai,ashby,furtherai,true
Acai Travel,,https://jobs.ashbyhq.com/acai,ashby,acai,true
Handshake,,https://jobs.ashbyhq.com/handshake,ashby,handshake,true
Zapier,,https://jobs.ashbyhq.com/zapier,ashby,zapier,true
CUBE,,https://jobs.ashbyhq.com/CUBE,ashby,CUBE,true
Spreetail,,https://jobs.lever.co/spreetail,lever,spreetail,true
Jobgether,,https://jobs.lever.co/jobgether,lever,jobgether,true
Atlan,,https://jobs.ashbyhq.com/atlan,ashby,atlan,true
Granica,,https://jobs.ashbyhq.com/granica,ashby,granica,true
Ambient.ai,,https://jobs.ashbyhq.com/ambient.ai,ashby,ambient.ai,true
ElevenLabs,,https://jobs.ashbyhq.com/elevenlabs,ashby,elevenlabs,true
Sarvam,,https://jobs.ashbyhq.com/sarvam,ashby,sarvam,true
Human Archive,,https://jobs.ashbyhq.com/humanarchive,ashby,humanarchive,true
SingleStore,,https://job-boards.greenhouse.io/singlestore,greenhouse,singlestore,true
AlphaSense,,https://job-boards.greenhouse.io/alphasense,greenhouse,alphasense,true
Legion,,https://job-boards.greenhouse.io/legion,greenhouse,legion,true
Dscout,,https://job-boards.greenhouse.io/dscout,greenhouse,dscout,true
Zeta Global,,https://job-boards.greenhouse.io/zetaglobal,greenhouse,zetaglobal,true
Glean,,https://job-boards.greenhouse.io/gleanwork,greenhouse,gleanwork,true
SimpliSafe,,https://job-boards.greenhouse.io/simplisafe,greenhouse,simplisafe,true
TechGrove,,https://job-boards.greenhouse.io/techgrovebybanyansoftware,greenhouse,techgrovebybanyansoftware,true
Together AI,,https://job-boards.greenhouse.io/togetherai,greenhouse,togetherai,true
Sauce Labs,,https://job-boards.greenhouse.io/saucelabs,greenhouse,saucelabs,true
Prophecy,,https://job-boards.greenhouse.io/prophecysimpledatalabs,greenhouse,prophecysimpledatalabs,true
Smart Working Solutions,,https://jobs.lever.co/smart-working-solutions,lever,smart-working-solutions,true
Browserbase,,https://jobs.ashbyhq.com/browserbase,ashby,browserbase,true
Databricks,,https://job-boards.greenhouse.io/databricks,greenhouse,databricks,true
Coinbase,,https://www.coinbase.com/careers,greenhouse,coinbase,true
Cloudflare,,https://boards.greenhouse.io/cloudflare,greenhouse,cloudflare,true
Okta,,https://www.okta.com/company/careers/,greenhouse,okta,true
Confluent,,https://jobs.ashbyhq.com/confluent,ashby,confluent,true
Vercel,,https://jobs.ashbyhq.com/vercel,ashby,vercel,true
Ramp,,https://jobs.ashbyhq.com/ramp,ashby,ramp,true
Plaid,,https://jobs.ashbyhq.com/plaid,ashby,plaid,true
Airbyte,,https://jobs.ashbyhq.com/airbyte,ashby,airbyte,true
Notion,,https://jobs.ashbyhq.com/notion,ashby,notion,true
OpenAI,,https://jobs.ashbyhq.com/openai,ashby,openai,true
Perplexity,,https://jobs.ashbyhq.com/perplexity,ashby,perplexity,true
Cursor,,https://jobs.ashbyhq.com/cursor,ashby,cursor,true
Replit,,https://jobs.ashbyhq.com/replit,ashby,replit,true
Grafana Labs,,https://boards.greenhouse.io/grafanalabs,greenhouse,grafanalabs,true
Elastic,,https://jobs.elastic.co/,greenhouse,elastic,true
Linear,,https://jobs.ashbyhq.com/linear,ashby,linear,true
Supabase,,https://jobs.ashbyhq.com/supabase,ashby,supabase,true
Clerk,,https://jobs.ashbyhq.com/clerk,ashby,clerk,true
PostHog,,https://jobs.ashbyhq.com/posthog,ashby,posthog,true
Stable Money,,https://jobs.lever.co/stable-money1,lever,stable-money1,true
Enterpret,,https://job-boards.greenhouse.io/enterpret,greenhouse,enterpret,true
Avoca,,https://jobs.ashbyhq.com/avoca,ashby,avoca,true
Wisdom AI,,https://jobs.ashbyhq.com/Wisdom-AI,ashby,Wisdom-AI,true
Spector.ai,,https://jobs.ashbyhq.com/spector-ai,ashby,spector-ai,true
CertifyOS,,https://jobs.ashbyhq.com/certifyos,ashby,certifyos,true
Razorpay,,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited,greenhouse,razorpaysoftwareprivatelimited,true
PhonePe,,https://job-boards.greenhouse.io/phonepe,greenhouse,phonepe,true
InMobi,,https://job-boards.greenhouse.io/inmobi,greenhouse,inmobi,true
Blenheim Chalcot India,,https://job-boards.greenhouse.io/blenheimchalcotindia,greenhouse,blenheimchalcotindia,true
Capco,,https://job-boards.greenhouse.io/capco,greenhouse,capco,true
CommerceIQ,,https://job-boards.greenhouse.io/commerceiq,greenhouse,commerceiq,true
Zadara,,https://jobs.lever.co/Zadara,lever,Zadara,true
Smarsh,,https://jobs.lever.co/smarsh,lever,smarsh,true
AlphaSense India,,https://job-boards.greenhouse.io/alphasenseindia,greenhouse,alphasenseindia,true
The Trade Desk,,https://job-boards.greenhouse.io/thetradedesk,greenhouse,thetradedesk,true
Point72,,https://job-boards.greenhouse.io/point72,greenhouse,point72,true
Eudia,,https://job-boards.greenhouse.io/eudia,greenhouse,eudia,true
Amtech Software,,https://job-boards.greenhouse.io/amtechsoftware,greenhouse,amtechsoftware,true
Britive,,https://job-boards.greenhouse.io/britive,greenhouse,britive,true
Entrata,,https://jobs.lever.co/entrata,lever,entrata,true
Addepar,,https://job-boards.greenhouse.io/addepar1,greenhouse,addepar1,true
Envoy Global,,https://job-boards.greenhouse.io/envoyglobalinc,greenhouse,envoyglobalinc,true
OneTrust,,https://job-boards.greenhouse.io/onetrust,greenhouse,onetrust,true
NiCE,,https://job-boards.greenhouse.io/nice,greenhouse,nice,true
Truveta,,https://job-boards.greenhouse.io/truveta,greenhouse,truveta,true
DeepIntent,,https://job-boards.greenhouse.io/deepintent,greenhouse,deepintent,true
Stripe,,https://job-boards.greenhouse.io/stripe,greenhouse,stripe,true
Pinterest,,https://job-boards.greenhouse.io/pinterest,greenhouse,pinterest,true
Dropbox,,https://job-boards.greenhouse.io/dropbox,greenhouse,dropbox,true
Robinhood,,https://job-boards.greenhouse.io/robinhood,greenhouse,robinhood,true
Twilio,,https://job-boards.greenhouse.io/twilio,greenhouse,twilio,true
Affirm,,https://job-boards.greenhouse.io/affirm,greenhouse,affirm,true
Airbnb,,https://job-boards.greenhouse.io/airbnb,greenhouse,airbnb,true
GitLab,,https://job-boards.greenhouse.io/gitlab,greenhouse,gitlab,true
MongoDB,,https://job-boards.greenhouse.io/mongodb,greenhouse,mongodb,true
Datadog,,https://job-boards.greenhouse.io/datadog,greenhouse,datadog,true
Palantir,,https://jobs.lever.co/palantir,lever,palantir,true
Atlassian,,https://jobs.lever.co/atlassian,lever,atlassian,true
Aera Technology,,https://jobs.lever.co/aeratechnology,lever,aeratechnology,true
Aleph,,https://jobs.lever.co/aleph,lever,aleph,true
Xero,,https://jobs.lever.co/xero,lever,xero,true
Menlo Security,,https://jobs.ashbyhq.com/menlosecurity,ashby,menlosecurity,true
Snowflake,,https://jobs.ashbyhq.com/snowflake,ashby,snowflake,true
Airtable,,https://jobs.ashbyhq.com/airtable,ashby,airtable,true
Vanta,,https://jobs.ashbyhq.com/vanta,ashby,vanta,true
Sentry,,https://jobs.ashbyhq.com/sentry,ashby,sentry,true
Innovaccer,,https://job-boards.greenhouse.io/innovaccer,greenhouse,innovaccer,true
Tekion,,https://job-boards.greenhouse.io/tekion,greenhouse,tekion,true
ConcertAI,,https://job-boards.greenhouse.io/concertai,greenhouse,concertai,true
Spaulding Ridge,,https://job-boards.greenhouse.io/spauldingridge,greenhouse,spauldingridge,true
Commvault,,https://job-boards.greenhouse.io/commvault,greenhouse,commvault,true
Couchbase,,https://job-boards.greenhouse.io/couchbaseinc,greenhouse,couchbaseinc,true
Saviynt,,https://jobs.lever.co/saviynt,lever,saviynt,true
